Name, Country 1, Country 2, Age, Position, Previous Club, Next Club, Transfer Fee
Peter Niemeyer, Germany, None, 27, CB, SV Werder Bremen, Hertha BSC, Summer, 2011, 700 Th. €
John Jairo Mosquera, Colombia, None, 23, CF, SV Werder Bremen, Union Berlin, Summer, 2011, 150 Th. €
Kevin Schindler, Germany, None, 23, RW, SV Werder Bremen, FC St. Pauli, Summer, 2011, 150 Th. €
Felix Wiedwald, Germany, None, 21, GK, SV Werder Bremen, MSV Duisburg, Summer, 2011, 100 Th. €
Torsten Frings, Germany, None, 34, DM, SV Werder Bremen, Toronto FC, Summer, 2011, Free transfer
Timo Perthel, Germany, None, 22, LB, SV Werder Bremen, Hansa Rostock, Summer, 2011, Free transfer
Samuel Jesus, Brazil, None, 25, CB, SV Werder Bremen, RSC Anderlecht, Summer, 2011, Free transfer
Márkó Futács, Hungary, None, 21, CF, SV Werder Bremen, Portsmouth FC, Summer, 2011, Free transfer
Petri Pasanen, Finland, None, 30, CB, SV Werder Bremen, RB Salzburg, Summer, 2011, Free transfer
Dominik Schmidt, Germany, None, 24, CB, SV Werder Bremen, E. Frankfurt, Summer, 2011, Free transfer
Jurica Vranjes, Croatia, None, 31, DM, SV Werder Bremen, Aris Saloniki, Summer, 2011, Free transfer
Pascal Testroet, Germany, None, 20, CF, SV Werder Bremen, K. Offenbach, Summer, 2011, 50 Th. €
Said Husejinovic, Bosnia-Herzegovina, None, 23, AM, SV Werder Bremen, None, Summer, 2011, -
Daniel Jensen, Denmark, None, 32, CM, SV Werder Bremen, None, Summer, 2011, -
Niklas Andersen, Germany, None, 22, CB, SV Werder Bremen, None, Summer, 2011, -
Dawda Bah, The Gambia, None, 27, LW, HJK Helsinki, FC Augsburg, Summer, 2011, 200 Th. €
Sascha Mölders, Germany, None, 26, CF, FSV Frankfurt, FC Augsburg, Summer, 2011, 175 Th. €
Sebastian Langkamp, Germany, None, 23, CB, Karlsruher SC, FC Augsburg, Summer, 2011, 100 Th. €
Lorenzo Davids, Netherlands, Suriname, 24, DM, NEC Nijmegen, FC Augsburg, Summer, 2011, Free transfer
Patrick Mayer, Germany, None, 23, CF, 1.FC Heidenheim, FC Augsburg, Summer, 2011, Free transfer
Dominic Peitz, Germany, None, 26, DM, Union Berlin, FC Augsburg, Summer, 2011, Free transfer
Ibrahima Traoré, Guinea, France, 23, RW, FC Augsburg, VfB Stuttgart, Summer, 2011, Free transfer
Thomas Rudolph, Germany, None, 22, CM, FC Augsburg, TSV Gersthofen, Summer, 2011, Free transfer
Lukas Sinkiewicz, Germany, None, 25, DM, FC Augsburg, VfL Bochum, Summer, 2011, Free transfer
Benjamin Woltmann, Germany, None, 21, CB, FC Augsburg, TSV Aindling, Summer, 2011, Free transfer
Daniel Framberger, Germany, None, 21, CM, FC Augsburg, TSV Neusäß, Summer, 2011, Free transfer
Kees Kwakman, Netherlands, None, 28, DM, FC Augsburg, FC Groningen, Summer, 2011, 10 Th. €
Knowledge Musona, Zimbabwe, None, 21, LW, Kaizer Chiefs, TSG 1899 Hoffenheim, Summer, 2011, 1.50 Mill. €
Koen Casteels, Belgium, None, 19, GK, KRC Genk, TSG 1899 Hoffenheim, Summer, 2011, 1.20 Mill. €
Fabian Johnson, United States, Germany, 23, LW, VfL Wolfsburg, TSG 1899 Hoffenheim, Summer, 2011, 700 Th. €
Michael Gregoritsch, Austria, None, 17, SS, SV Kapfenberg, TSG 1899 Hoffenheim, Summer, 2011, 200 Th. €
Danny Williams, United States, Germany, 22, DM, SC Freiburg, TSG 1899 Hoffenheim, Summer, 2011, 200 Th. €
Sven Schipplock, Germany, None, 22, CF, Stuttgart II, TSG 1899 Hoffenheim, Summer, 2011, Free transfer
Prince Tagoe, Ghana, None, 24, CF, TSG 1899 Hoffenheim, Bursaspor, Summer, 2011, 1.50 Mill. €
Ramazan Özcan, Austria, None, 27, GK, TSG 1899 Hoffenheim, FC Ingolstadt, Summer, 2011, Free transfer
Josip Simunic, Croatia, Australia, 33, CB, TSG 1899 Hoffenheim, Dinamo Zagreb, Summer, 2011, Free transfer
Sascha Riether, Germany, None, 28, RB, VfL Wolfsburg, 1. FC Köln, Summer, 2011, 2.80 Mill. €
Mato Jajalo, Bosnia-Herzegovina, Croatia, 23, DM, AC Siena, 1. FC Köln, Summer, 2011, 2.00 Mill. €
Odise Roshi, Albania, None, 20, RW, FC Flamurtari, 1. FC Köln, Summer, 2011, Free transfer
Youssef Mohamad, Lebanon, None, 31, CB, 1. FC Köln, Al-Ahli (UAE), Summer, 2011, 2.53 Mill. €
Michael Gardawski, Germany, Poland, 20, RM, 1. FC Köln, VfL Osnabrück, Summer, 2011, Free transfer
Fabrice Ehret, France, Switzerland, 31, LB, 1. FC Köln, Évian, Summer, 2011, Free transfer
Manasseh Ishiaku, Nigeria, Belgium, 28, CF, 1. FC Köln, None, Summer, 2011, -
Wilfried Sanou, Burkina Faso, None, 27, LW, 1. FC Köln, None, Summer, 2011, -
Peter Niemeyer, Germany, None, 27, CB, Werder Bremen, Hertha BSC, Summer, 2011, 700 Th. €
Änis Ben-Hatira, Tunisia, Germany, 23, AM, Hamburger SV, Hertha BSC, Summer, 2011, 600 Th. €
Thomas Kraft, Germany, None, 22, GK, Bayern Munich , Hertha BSC, Summer, 2011, Free transfer
Tunay Torun, Turkey, Germany, 21, RW, Hamburger SV, Hertha BSC, Summer, 2011, Free transfer
Maik Franz, Germany, None, 29, CB, E. Frankfurt, Hertha BSC, Summer, 2011, Free transfer
Andreas Ottl, Germany, None, 26, DM, Bayern Munich , Hertha BSC, Summer, 2011, Free transfer
Valeri Domovchiyski, Bulgaria, None, 24, CF, Hertha BSC, MSV Duisburg, Summer, 2011, 450 Th. €
Rob Friend, Canada, None, 30, CF, Hertha BSC, E. Frankfurt, Summer, 2011, 250 Th. €
Kaká, Brazil, None, 30, CB, Hertha BSC, APOEL Nicosia, Summer, 2011, 250 Th. €
Lennart Hartmann, Germany, None, 20, DM, Hertha BSC, Alem. Aachen, Summer, 2011, Free transfer
Sascha Bigalke, Germany, None, 21, AM, Hertha BSC, Unterhaching, Summer, 2011, Free transfer
Itay Shechter, Israel, Romania, 24, CF, Hapoel Tel Aviv, 1.FC Kaiserslautern, Summer, 2011, 2.50 Mill. €
Gil Vermouth, Israel, Poland, 25, RM, Hapoel Tel Aviv, 1.FC Kaiserslautern, Summer, 2011, 750 Th. €
Richard Sukuta-Pasu, Germany, Congo DR, 21, CF, Bay. Leverkusen, 1.FC Kaiserslautern, Summer, 2011, 280 Th. €
Konstantinos Fortounis, Greece, None, 18, AM, Asteras Tripoli, 1.FC Kaiserslautern, Summer, 2011, 250 Th. €
Olcay Sahan, Turkey, Germany, 24, RW, MSV Duisburg, 1.FC Kaiserslautern, Summer, 2011, Free transfer
Ivo Ilicevic, Croatia, None, 24, LW, 1.FC Kaiserslautern, Hamburger SV, Summer, 2011, 4.00 Mill. €
Bastian Schulz, Germany, None, 26, DM, 1.FC Kaiserslautern, RB Leipzig, Summer, 2011, 100 Th. €
Srdjan Lakic, Croatia, None, 27, CF, 1.FC Kaiserslautern, VfL Wolfsburg, Summer, 2011, Free transfer
Danny Fuchs, Germany, None, 35, LM, 1.FC Kaiserslautern, None, Summer, 2011, -
Falcao, Colombia, None, 25, CF, FC Porto, Atlético Madrid, Summer, 2011, 40.00 Mill. €
Arda Turan, Turkey, None, 24, LW, Galatasaray, Atlético Madrid, Summer, 2011, 13.00 Mill. €
Sílvio, Portugal, None, 23, RB, Braga, Atlético Madrid, Summer, 2011, 7.00 Mill. €
Rúben Micael, Portugal, None, 24, AM, FC Porto, Atlético Madrid, Summer, 2011, 5.00 Mill. €
Gabi, Spain, None, 27, CM, Real Zaragoza, Atlético Madrid, Summer, 2011, 3.00 Mill. €
Adrián López, Spain, None, 23, CF, Dep. La Coruña, Atlético Madrid, Summer, 2011, Free transfer
Miranda, Brazil, None, 26, CB, São Paulo, Atlético Madrid, Summer, 2011, Free transfer
Tiago, Portugal, None, 30, CM, Juventus, Atlético Madrid, Summer, 2011, Free transfer
Sergio Agüero, Argentina, Spain, 23, CF, Atlético Madrid, Man City, Summer, 2011, 36.00 Mill. €
David de Gea, Spain, None, 20, GK, Atlético Madrid, Man Utd, Summer, 2011, 25.00 Mill. €
Elias, Brazil, None, 26, CM, Atlético Madrid, Sporting CP, Summer, 2011, 8.85 Mill. €
Diego Forlán, Uruguay, Spain, 32, SS, Atlético Madrid, Inter, Summer, 2011, 5.00 Mill. €
Tomás Ujfalusi, Czech Republic, None, 33, CB, Atlético Madrid, Galatasaray, Summer, 2011, 2.00 Mill. €
Ibrahima Baldé, Senegal, None, 22, CF, Atlético Madrid, CA Osasuna, Summer, 2011, 1.00 Mill. €
Juan Valera, Spain, None, 26, RB, Atlético Madrid, Getafe CF, Summer, 2011, ?
Cesc Fàbregas, Spain, None, 24, CM, Arsenal, FC Barcelona, Summer, 2011, 34.00 Mill. €
Alexis Sánchez, Chile, None, 22, LW, Udinese Calcio, FC Barcelona, Summer, 2011, 26.00 Mill. €
Zlatan Ibrahimovic, Sweden, Bosnia-Herzegovina, 29, CF, FC Barcelona, AC Milan, Summer, 2011, 24.00 Mill. €
Bojan Krkic, Spain, Serbia, 20, SS, FC Barcelona, AS Roma, Summer, 2011, 12.00 Mill. €
Jeffren, Venezuela, Spain, 23, RW, FC Barcelona, Sporting CP, Summer, 2011, 3.75 Mill. €
Martín Cáceres, Uruguay, None, 24, RB, FC Barcelona, Sevilla FC, Summer, 2011, 3.00 Mill. €
Víctor Sánchez, Spain, None, 23, CM, FC Barcelona, Neuchâtel Xamax, Summer, 2011, Free transfer
Gabriel Milito, Argentina, Italy, 30, CB, FC Barcelona, Independiente, Summer, 2011, Free transfer
Roberto, Spain, None, 25, GK, Benfica, Real Zaragoza, Summer, 2011, 8.60 Mill. €
Hélder Postiga, Portugal, None, 29, CF, Sporting CP, Real Zaragoza, Summer, 2011, 1.30 Mill. €
Luis García, Spain, None, 30, CM, Espanyol, Real Zaragoza, Summer, 2011, 1.00 Mill. €
Edu Oriol, Spain, None, 24, RB, FC Barcelona B, Real Zaragoza, Summer, 2011, Free transfer
Abraham Minero, Spain, None, 25, LB, FC Barcelona B, Real Zaragoza, Summer, 2011, Free transfer
Fernando Meira, Portugal, None, 33, CB, Zenit S-Pb, Real Zaragoza, Summer, 2011, Free transfer
Antonio Tomás, Spain, None, 26, CM, Dep. La Coruña, Real Zaragoza, Summer, 2011, Free transfer
Ander Herrera, Spain, None, 21, CM, Real Zaragoza, Athletic Bilbao, Summer, 2011, 7.50 Mill. €
Ikechukwu Uche, Nigeria, Spain, 27, CF, Real Zaragoza, Villarreal CF, Summer, 2011, 5.00 Mill. €
Gabi, Spain, None, 27, CM, Real Zaragoza, Atlético Madrid, Summer, 2011, 3.00 Mill. €
Saïd Boutahar, Netherlands, Morocco, 28, AM, Real Zaragoza, Al-Wakrah, Summer, 2011, Free transfer
Edmílson, Brazil, Italy, 34, DM, Real Zaragoza, Ceará SC, Summer, 2011, Free transfer
Jirí Jarosík, Czech Republic, None, 33, CB, Real Zaragoza, Sparta Praha, Summer, 2011, Free transfer
Jorge López, Spain, None, 32, CM, Real Zaragoza, OFI Crete, Summer, 2011, Free transfer
Carlos Diogo, Uruguay, Italy, 27, RB, Real Zaragoza, None, Summer, 2011, -
Danijel Kosovac, Serbia, Switzerland, 22, AM, Real Zaragoza, None, Summer, 2011, -
Braulio Nóbrega, Spain, None, 26, CF, Real Zaragoza, None, Summer, 2011, -
Javier Matilla, Spain, None, 23, CM, Villarreal CF, Real Betis Balompié, Summer, 2011, 1.35 Mill. €
Antonio Amaya, Spain, None, 28, CB, Wigan, Real Betis Balompié, Summer, 2011, 285 Th. €
Javi Chica, Spain, None, 26, RB, Espanyol, Real Betis Balompié, Summer, 2011, Free transfer
Fabri, Spain, None, 23, GK, Real Valladolid, Real Betis Balompié, Summer, 2011, Free transfer
David Querol, Spain, None, 22, RW, Reus Deportiu, Real Betis Balompié, Summer, 2011, Free transfer
Mario Álvarez, Spain, None, 29, CB, Getafe CF, Real Betis Balompié, Summer, 2011, Free transfer
Achille Emaná, Cameroon, None, 29, AM, Real Betis Balompié, Hilal, Summer, 2011, 4.50 Mill. €
Brimah Razak, Ghana, None, 24, GK, Real Betis Balompié, CD Tenerife, Summer, 2011, Free transfer
Juande, Spain, None, 25, DM, Real Betis Balompié, KVC Westerlo, Summer, 2011, Free transfer
Israel Bascón, Spain, None, 24, RM, Real Betis Balompié, Xerez CD, Summer, 2011, Free transfer
Rodri, Spain, None, 25, RM, Real Betis Balompié, CD Guadalajara, Summer, 2011, Free transfer
Mariano Pavone, Argentina, Italy, 29, CF, Real Betis Balompié, CA Lanús, Summer, 2011, Free transfer
Arzu, Spain, None, 30, DM, Real Betis Balompié, Gimnàstic, Summer, 2011, Free transfer
David Odonkor, Germany, Ghana, 27, RW, Real Betis Balompié, None, Summer, 2011, -
Fernando Vega, Spain, None, 27, LB, Real Betis Balompié, None, Summer, 2011, -
David Belenguer, Spain, None, 38, CB, Real Betis Balompié, None, Summer, 2011, -
Marvin Ogunjimi, Belgium, Nigeria, 23, CF, KRC Genk, RCD Mallorca, Summer, 2011, 2.40 Mill. €
Alejandro Alfaro, Spain, None, 24, LW, Sevilla FC, RCD Mallorca, Summer, 2011, 600 Th. €
Pablo Cáceres, Uruguay, Spain, 26, LB, CA Tigre, RCD Mallorca, Summer, 2011, 400 Th. €
Juan Calatayud, Spain, None, 31, GK, Hércules CF, RCD Mallorca, Summer, 2011, Free transfer
Tomer Hemed, Israel, Poland, 24, CF, Maccabi Haifa, RCD Mallorca, Summer, 2011, Free transfer
Gianni Zuiverloon, Netherlands, Suriname, 24, CB, West Brom, RCD Mallorca, Summer, 2011, Free transfer
Jonathan de Guzmán, Netherlands, Canada, 23, CM, RCD Mallorca, Villarreal CF, Summer, 2011, 8.00 Mill. €
Óscar Trejo, Argentina, Italy, 23, AM, RCD Mallorca, Sporting Gijón, Summer, 2011, 1.00 Mill. €
Pierre Webó, Cameroon, Spain, 29, CF, RCD Mallorca, Istanbul BBSK, Summer, 2011, 750 Th. €
Rubén González, Spain, None, 29, CB, RCD Mallorca, CA Osasuna, Summer, 2011, Free transfer
Germán Lux, Argentina, Italy, 28, GK, RCD Mallorca, Dep. La Coruña, Summer, 2011, Free transfer
Ayoze Díaz, Spain, None, 29, LB, RCD Mallorca, Dep. La Coruña, Summer, 2011, Free transfer
Enrique Corrales, Spain, None, 29, LB, RCD Mallorca, UD Las Palmas, Summer, 2011, Free transfer
Tuni, Spain, None, 29, LM, RCD Mallorca, Gimnàstic, Summer, 2011, Free transfer
Roland Lamah, Belgium, Cote d'Ivoire, 23, LW, Le Mans, CA Osasuna, Summer, 2011, 1.50 Mill. €
Ibrahima Baldé, Senegal, None, 22, CF, Atlético Madrid, CA Osasuna, Summer, 2011, 1.00 Mill. €
Marc Bertrán, Spain, None, 29, RB, CD Tenerife, CA Osasuna, Summer, 2011, Free transfer
Rubén González, Spain, None, 29, CB, RCD Mallorca, CA Osasuna, Summer, 2011, Free transfer
Nino, Spain, None, 31, CF, CD Tenerife, CA Osasuna, Summer, 2011, ?
Nacho Monreal, Spain, None, 25, LB, CA Osasuna, Málaga CF, Summer, 2011, 6.00 Mill. €
Javier Camuñas, Spain, None, 30, RW, CA Osasuna, Villarreal CF, Summer, 2011, 2.30 Mill. €
Wálter Pandiani, Uruguay, Italy, 35, CF, CA Osasuna, Espanyol, Summer, 2011, Free transfer
Fernando Soriano, Spain, None, 31, AM, CA Osasuna, UD Almería, Summer, 2011, Free transfer
Krisztián Vadócz, Hungary, None, 26, CM, CA Osasuna, NEC Nijmegen, Summer, 2011, Free transfer
Josetxo, Spain, None, 34, CB, CA Osasuna, SD Huesca, Summer, 2011, Free transfer
Carlos Aranda, Spain, None, 30, CF, CA Osasuna, Levante UD, Summer, 2011, Free transfer
Jokin Esparza, Spain, None, 23, LW, CA Osasuna, SD Huesca, Summer, 2011, Free transfer
Raúl Tamudo, Spain, None, 33, CF, Real Sociedad, Rayo Vallecano, Summer, 2011, Free transfer
Mikel Labaka, Spain, None, 30, CB, Real Sociedad, Rayo Vallecano, Summer, 2011, Free transfer
Raúl Bravo, Spain, None, 30, CB, Olympiacos, Rayo Vallecano, Summer, 2011, Free transfer
Roberto Trashorras, Spain, None, 30, CM, Celta de Vigo, Rayo Vallecano, Summer, 2011, Free transfer
Michu, Spain, None, 25, SS, Celta de Vigo, Rayo Vallecano, Summer, 2011, Free transfer
Sueliton, Brazil, None, 24, RB, Vitória-PE, Rayo Vallecano, Summer, 2011, Free transfer
Sergio Koke, Spain, None, 28, CF, Houston, Rayo Vallecano, Summer, 2011, Free transfer
Coke, Spain, None, 24, RB, Rayo Vallecano, Sevilla FC, Summer, 2011, 1.80 Mill. €
Brayan Angulo, Colombia, Spain, 21, LB, Rayo Vallecano, Atl. Baleares , Summer, 2011, Free transfer
David Aganzo, Spain, None, 30, CF, Rayo Vallecano, Hércules CF, Summer, 2011, Free transfer
Borja García, Spain, None, 20, AM, Rayo Vallecano, Córdoba CF, Summer, 2011, ?
Juan Carlos, Spain, None, 23, GK, Rayo Vallecano, Hércules CF, Summer, 2011, ?
Yuma, Spain, None, 25, CM, Rayo Vallecano, UD Salamanca, Summer, 2011, ?
Salva, Spain, None, 30, CB, Rayo Vallecano, None, Summer, 2011, -
Carlos de la Vega, Spain, None, 31, RB, Rayo Vallecano, None, Summer, 2011, -
Manu del Moral, Spain, None, 27, LW, Getafe CF, Sevilla FC, Summer, 2011, 4.50 Mill. €
Martín Cáceres, Uruguay, None, 24, RB, FC Barcelona, Sevilla FC, Summer, 2011, 3.00 Mill. €
Emir Spahic, Bosnia-Herzegovina, Croatia, 30, CB, Montpellier, Sevilla FC, Summer, 2011, 2.00 Mill. €
Coke, Spain, None, 24, RB, Rayo Vallecano, Sevilla FC, Summer, 2011, 1.80 Mill. €
Piotr Trochowski, Germany, None, 27, AM, Hamburger SV, Sevilla FC, Summer, 2011, Free transfer
Didier Zokora, Cote d'Ivoire, None, 30, DM, Sevilla FC, Trabzonspor, Summer, 2011, 5.00 Mill. €
Diego Capel, Spain, None, 23, LW, Sevilla FC, Sporting CP, Summer, 2011, 3.50 Mill. €
Sergio Sánchez, Spain, None, 25, CB, Sevilla FC, Málaga CF, Summer, 2011, 2.80 Mill. €
Rodri, Spain, None, 21, CF, Sevilla FC, FC Barcelona B, Summer, 2011, 1.50 Mill. €
Mouhamadou Dabo, France, Senegal, 24, RB, Sevilla FC, Olympique Lyon, Summer, 2011, 800 Th. €
Alejandro Alfaro, Spain, None, 24, LW, Sevilla FC, RCD Mallorca, Summer, 2011, 600 Th. €
José Carlos, Spain, None, 23, AM, Sevilla FC, AEK Athens, Summer, 2011, Free transfer
David Prieto, Spain, None, 28, CB, Sevilla FC, Córdoba CF, Summer, 2011, Free transfer
Ivica Dragutinovic, Serbia, Belgium, 35, CB, Sevilla FC, None, Summer, 2011, -
Fábio Coentrão, Portugal, None, 23, LB, Benfica, Real Madrid, Summer, 2011, 30.00 Mill. €
Nuri Sahin, Turkey, Germany, 22, DM, Bor. Dortmund, Real Madrid, Summer, 2011, 10.00 Mill. €
Raphaël Varane, France, Martinique, 18, CB, Lens, Real Madrid, Summer, 2011, 10.00 Mill. €
José Callejón, Spain, None, 24, RW, Espanyol, Real Madrid, Summer, 2011, 5.00 Mill. €
Hamit Altintop, Turkey, Germany, 28, CM, Bayern Munich , Real Madrid, Summer, 2011, Free transfer
Ezequiel Garay, Argentina, Spain, 24, CB, Real Madrid, Benfica, Summer, 2011, 5.50 Mill. €
Jerzy Dudek, Poland, None, 38, GK, Real Madrid, None, Summer, 2011, -
Alexandros Tziolis, Greece, None, 26, DM, AC Siena, Racing Santander, Summer, 2011, Free transfer
Fabio Coltorti, Switzerland, None, 30, GK, Racing Santander, Lausanne-Sport, Summer, 2011, Free transfer
Toño, Spain, None, 32, GK, Racing Santander, Granada CF, Summer, 2011, Free transfer
Mehdi Lacen, Algeria, France, 27, DM, Racing Santander, Getafe CF, Summer, 2011, Free transfer
Mario Ortiz, Spain, None, 22, CM, Racing Santander, CD Puertollano, Summer, 2011, Free transfer
Iván Bolado, Equatorial Guinea, Spain, 21, CF, Racing Santander, FC Cartagena, Summer, 2011, ?
Brian Sarmiento, Argentina, None, 21, AM, Racing Santander, Racing Club, Summer, 2011, ?
Pablo Pinillos, Spain, None, 36, RB, Racing Santander, None, Summer, 2011, -
Iosu Esnaola, Spain, None, 24, CB, Real Sociedad, SD Noja, Summer, 2011, Free transfer
Raúl Tamudo, Spain, None, 33, CF, Real Sociedad, Rayo Vallecano, Summer, 2011, Free transfer
Diego Rivas, Spain, None, 31, CM, Real Sociedad, Hércules CF, Summer, 2011, Free transfer
Toño, Spain, None, 25, GK, Real Sociedad, CD Guadalajara, Summer, 2011, Free transfer
Mikel Labaka, Spain, None, 30, CB, Real Sociedad, Rayo Vallecano, Summer, 2011, Free transfer
Iñigo Sarasola, Spain, None, 24, LB, Real Sociedad, SD Beasain, Summer, 2011, Free transfer
Paco Sutil, Spain, None, 26, AM, Real Sociedad, Real Murcia, Summer, 2011, Free transfer
Juan Ángel Albín, Uruguay, Spain, 24, AM, Getafe CF, RCD Espanyol Barcelona, Summer, 2011, 3.00 Mill. €
Héctor Moreno, Mexico, Spain, 23, CB, AZ Alkmaar, RCD Espanyol Barcelona, Summer, 2011, 2.50 Mill. €
Adrián Luna, Uruguay, None, 19, RW, Defensor, RCD Espanyol Barcelona, Summer, 2011, 1.00 Mill. €
Rui Fonte, Portugal, None, 21, CF, Sporting CP, RCD Espanyol Barcelona, Summer, 2011, Free transfer
Wálter Pandiani, Uruguay, Italy, 35, CF, CA Osasuna, RCD Espanyol Barcelona, Summer, 2011, Free transfer
Daniel Osvaldo, Italy, Argentina, 25, CF, RCD Espanyol Barcelona, AS Roma, Summer, 2011, 16.00 Mill. €
José Callejón, Spain, None, 24, RW, RCD Espanyol Barcelona, Real Madrid, Summer, 2011, 5.00 Mill. €
Luis García, Spain, None, 30, CM, RCD Espanyol Barcelona, Real Zaragoza, Summer, 2011, 1.00 Mill. €
Javi Chica, Spain, None, 26, RB, RCD Espanyol Barcelona, Real Betis, Summer, 2011, Free transfer
Aldo Duscher, Argentina, Austria, 32, DM, RCD Espanyol Barcelona, Barcelona SC, Summer, 2011, Free transfer
Milan Smiljanic, Serbia, None, 24, DM, RCD Espanyol Barcelona, Partizan, Summer, 2011, Free transfer
Coro, Spain, None, 28, SS, RCD Espanyol Barcelona, Girona FC, Summer, 2011, Free transfer
Ángel Martínez, Spain, None, 25, CM, RCD Espanyol Barcelona, Blackpool, Summer, 2011, Free transfer
Román Martínez, Argentina, None, 28, CM, RCD Espanyol Barcelona, CA Tigre, Summer, 2011, Free transfer
Iván Alonso, Uruguay, Spain, 32, CF, RCD Espanyol Barcelona, Toluca, Summer, 2011, Free transfer
David García, Spain, None, 30, LB, RCD Espanyol Barcelona, Girona FC, Summer, 2011, Free transfer
Iván de la Peña, Spain, None, 35, AM, RCD Espanyol Barcelona, None, Summer, 2011, -
Víctor Ruiz, Spain, None, 22, CB, SSC Napoli, Valencia CF, Summer, 2011, 8.00 Mill. €
Pablo Piatti, Argentina, Italy, 22, LW, UD Almería, Valencia CF, Summer, 2011, 7.50 Mill. €
Dani Parejo, Spain, None, 22, CM, Getafe CF, Valencia CF, Summer, 2011, 6.00 Mill. €
Adil Rami, France, Morocco, 25, CB, LOSC Lille, Valencia CF, Summer, 2011, 6.00 Mill. €
Diego Alves, Brazil, Italy, 26, GK, UD Almería, Valencia CF, Summer, 2011, 3.00 Mill. €
Antonio Barragán, Spain, None, 24, RB, Real Valladolid, Valencia CF, Summer, 2011, 1.50 Mill. €
Juan Mata, Spain, None, 23, AM, Valencia CF, Chelsea, Summer, 2011, 26.70 Mill. €
Joaquín, Spain, None, 29, RW, Valencia CF, Málaga CF, Summer, 2011, 4.20 Mill. €
